,0,1
0,348.7505634208685,256.795757039572
1,675.74218733064,918.9078492830804
2,151.6339905592589,367.7927659131587
3,850.3221456773842,462.8986212563778
4,100.23268574494249,928.4089591024712
5,388.59903337371355,929.6321731549269
6,914.039635279682,259.19790735080534
7,696.8006573856326,678.7116285406211
8,166.44137472277615,686.3027749697508
9,471.46188685259665,93.30602892139774
10,682.3463237441227,374.491213980893
11,468.7193860964762,545.7698067018881
12,858.2030575870358,84.40217341827456
13,904.252687449399,675.9903735962781
14,477.96868486114647,376.68275164766044
15,268.3104346808731,847.2868435526731
16,532.1789955443901,755.1873924675267
17,897.7520439770847,918.0297476103287
18,175.63018209131528,76.28226733402762
19,70.75963154899321,583.7055961372454
20,69.36791708868954,225.09956911164878
21,301.7111034156274,572.4839047726879
22,704.9708422616146,140.6289540627396
