[1883  680],[ 751 4483],[6775 7113],[4701 5500],[ 795 4856],[1476 9394],[ 188 9268],[5469 3039],[4423 8928],[  50 5783],[8758 4038],[7987 3389],[9493  226],[7596 7033],[8393 4753],[1921 2510],[4123 2120],[7760 6055],[6812 5348],[ 521 5480],[ 475 2069],[ 8974 10000],[3376 6338],[8269 8479],[9756 5985],[479  74],[9337 6426],[425 601],[9597 8761],[1467 4410],0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,Null,Null,1156.2021394339881,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,2275.260914499576,Null,Null
1,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,503.0187091475636,Null,Null,Null,Null,Null,Null,Null
2,Null,Null,Null,Null,300.9629168292676,Null,Null,Null,Null,Null,Null,1413.5071104321448,Null,Null,Null,Null,1772.0142526507277,Null
3,Null,Null,Null,Null,Null,1227.4363365529202,Null,12.167163379553832,1564.3683384131355,1227.4363365529202,Null,Null,1227.4363365529202,Null,1227.4363365529202,Null,2124.5606833973734,1227.4363365529202
4,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,145.11475074972253,Null,Null,Null,Null,Null,Null,Null
5,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
6,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
7,Null,Null,Null,Null,Null,Null,37.46185487332906,Null,Null,Null,Null,Null,Null,Null,Null,2070.441436691798,Null,Null
8,Null,29.105511700268778,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
9,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1047.769513966866,Null,Null,Null,Null,Null,Null,Null
10,Null,Null,Null,2277.936950754669,Null,Null,Null,Null,Null,Null,Null,2282.9626694030785,Null,446.45742144218485,Null,Null,2335.9073347640956,Null
11,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,598.2110792603438,Null,Null,2274.898950655974,Null
12,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
13,Null,Null,Null,2088.1672844709306,528.1526244980139,Null,Null,Null,Null,Null,Null,961.4187321395898,Null,Null,Null,Null,1861.1121056153672,Null
14,Null,Null,Null,1817.4041798190922,Null,Null,Null,Null,Null,Null,Null,1480.2643280754717,Null,886.1059155576619,Null,Null,1679.8330393782535,Null
15,Null,Null,2015.5752496090383,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1684.1154000058104,Null,Null
16,Null,Null,Null,Null,Null,Null,1616.80785719357,Null,Null,Null,Null,Null,Null,Null,Null,552.4953782730522,Null,Null
17,Null,Null,Null,1751.4163670944927,1269.293584307869,Null,Null,Null,Null,Null,Null,32.69693517484536,Null,2263.730851862742,Null,Null,1180.3742757290293,Null
18,Null,Null,Null,Null,1795.5528320660437,Null,Null,2127.4934902941486,Null,Null,Null,1186.0082056743815,Null,2130.7803873095463,Null,Null,10.00258810624215,Null
19,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,536.655291731284,Null,Null,Null,Null,Null,Null,Null
20,Null,Null,1224.420887367489,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
21,808.5890486235121,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
22,Null,Null,Null,Null,Null,348.6854577398133,Null,1555.6104236358528,3.4556988901855523,348.6854577398133,Null,Null,348.6854577398133,Null,348.6854577398133,Null,Null,348.6854577398133
23,1102.9888395133792,Null,Null,Null,1805.4491438404245,Null,Null,Null,Null,Null,Null,2453.2046794812395,Null,Null,Null,Null,Null,Null
24,Null,Null,Null,322.82639174661296,Null,Null,Null,Null,Null,Null,Null,2015.474704957362,Null,Null,Null,Null,Null,Null
25,Null,Null,842.8188402640559,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
26,Null,Null,Null,290.78345210264393,2366.541496647311,Null,Null,Null,Null,Null,Null,1630.608150249248,Null,Null,Null,Null,Null,Null
27,Null,Null,419.5065449073709,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
28,662.5102602656206,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
29,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,935.3962699285677,Null,Null,Null,Null,Null,Null,Null
